,0
2016-01-19,162354912.83011264
2016-01-20,160385778.73851264
2016-01-21,161143976.09851265
2016-01-22,164470686.00351265
2016-01-25,162084392.64351267
2016-01-26,164280275.80851266
2016-01-27,162433085.93851265
2016-01-28,163570315.16851267
2016-01-29,167519525.58351266
2016-02-01,167456129.30211267
2016-02-02,164322186.15711266
2016-02-03,164892009.67711264
2016-02-04,165039244.94711265
2016-02-05,161887184.28711265
2016-02-08,159783381.45711267
2016-02-09,159787817.93711266
2016-02-10,159809274.50211266
2016-02-11,157937219.74461263
2016-02-12,160989971.51961267
2016-02-16,163603258.57961267
2016-02-17,166297597.52961263
2016-02-18,165498621.44961262
2016-02-19,165628520.98961267
2016-02-22,167943205.05961266
2016-02-23,165863128.98461264
2016-02-24,166575456.13461268
2016-02-25,168529674.99461263
2016-02-26,168040585.95461267
2016-02-29,166662904.49461263
2016-03-01,170677574.38961264
2016-03-02,171336400.05461264
2016-03-03,171805314.7746127
2016-03-04,172335167.03461266
2016-03-07,172265098.9836127
2016-03-08,170666742.86361268
2016-03-09,171490924.45861265
2016-03-10,171504420.73361266
2016-03-11,174220806.72861263
2016-03-14,174111875.14361262
2016-03-15,174020972.58361265
2016-03-16,174951938.22361267
2016-03-17,176003995.52361268
2016-03-18,176777458.59361264
2016-03-21,176995826.48361263
2016-03-22,176841674.85761267
2016-03-23,175862589.07761267
2016-03-24,175837882.41761267
2016-03-28,175894252.93761265
2016-03-29,177514448.24761266
2016-03-30,178376409.82761267
2016-03-31,177943578.43761265
2016-04-01,179226297.80761266
2016-04-04,178793029.22261262
2016-04-05,177205491.15261266
2016-04-06,179075934.84261265
2016-04-07,176912656.22661266
2016-04-08,177348647.49661267
2016-04-11,176854847.12661266
2016-04-12,178596161.67661265
2016-04-13,180383127.17661265
2016-04-14,180551154.35811266
2016-04-15,180340399.05811265
2016-04-18,181487886.64811265
2016-04-19,181911525.06311265
2016-04-20,182007058.96811265
2016-04-21,180968974.73311263
2016-04-22,180672030.09811264
2016-04-25,180521117.64811265
2016-04-26,180662403.92811266
2016-04-27,180754591.65811265
2016-04-28,179116644.70311263
2016-04-29,178363392.99811262
2016-05-02,179877494.72811267
2016-05-03,178427144.46811265
2016-05-04,177472868.85811266
2016-05-05,177474749.78811264
2016-05-06,178210188.87311265
2016-05-09,178395318.96811268
2016-05-10,180555414.30811265
2016-05-11,178973151.91311264
2016-05-12,179034711.15311265
2016-05-13,177468169.42311266
2016-05-16,179242897.21311265
2016-05-17,177406303.38311267
2016-05-18,177580922.56224865
2016-05-19,176990384.53978467
2016-05-20,178015266.30696863
2016-05-23,177565586.00311264
2016-05-24,179999021.23856065
2016-05-25,181208514.72387266
2016-05-26,181199225.49489665
2016-05-27,181969011.23682463
2016-05-31,181745401.38893667
2016-06-01,181896749.39211264
2016-06-02,182297556.64718467
2016-06-03,181753393.99263266
2016-06-06,182541778.73424068
2016-06-07,182708340.85779265
2016-06-08,183359817.41768068
2016-06-09,183080371.53062463
2016-06-10,181622082.19700065
2016-06-13,180243734.11860067
2016-06-14,179988195.47461665
2016-06-15,179627190.49453664
2016-06-16,180285804.44132066
2016-06-17,179522237.18919265
2016-06-20,180473789.9518647
2016-06-21,181073372.97208866
2016-06-22,180714710.60605663
2016-06-23,183086437.44326463
2016-06-24,176680580.44379267
2016-06-27,173853230.81680065
2016-06-28,176859301.32196063
2016-06-29,179882706.59196466
2016-06-30,182235080.04615667
2016-07-01,182584588.41115668
2016-07-05,181421999.07115668
2016-07-06,182399288.86615667
2016-07-07,182241225.1281567
2016-07-08,184875748.85815668
2016-07-11,185552941.9981567
2016-07-12,186648983.0681567
2016-07-13,186735141.57815668
2016-07-14,187774313.68315667
2016-07-15,187564816.34315664
2016-07-18,188070106.6231567
2016-07-19,187884711.81315666
2016-07-20,188723496.21715668
2016-07-21,188002593.5971567
2016-07-22,188802843.2671567
2016-07-25,188254268.37715667
2016-07-26,188152769.3596567
2016-07-27,188033142.83715668
2016-07-28,188304426.99715665
2016-07-29,188666075.94715667
2016-08-01,188599688.16715667
2016-08-02,187478675.41715667
2016-08-03,188004394.60715666
2016-08-04,188172100.18715665
2016-08-05,189817280.88715664
2016-08-08,189680704.35715666
2016-08-09,189859536.2671567
2016-08-10,189409436.25465664
2016-08-11,190180525.47465667
2016-08-12,190064498.13465667
2016-08-15,190514442.59465665
2016-08-16,189522703.43965667
2016-08-17,189944376.00465667
2016-08-18,190246190.68465668
2016-08-19,189922302.83465666
2016-08-22,189846313.87465668
2016-08-23,190103746.42965668
2016-08-24,189275928.13965666
2016-08-25,189033851.21965668
2016-08-26,188782509.49965668
2016-08-29,189777636.63465667
2016-08-30,189496211.22465667
2016-08-31,189235647.19465667
2016-09-01,189308446.31465667
2016-09-02,190036851.85465667
2016-09-06,190650461.1191567
2016-09-07,190554553.8767567
2016-09-08,190038462.13195667
2016-09-09,185565121.48315665
2016-09-12,188313284.18915668
2016-09-13,185727385.2029067
2016-09-14,185688907.0703067
2016-09-15,187649323.65405667
2016-09-16,186951294.6014067
2016-09-19,186841258.74965665
2016-09-20,187054142.66035667
2016-09-21,188924839.53140667
2016-09-22,190118187.65325665
2016-09-23,189145967.70440668
2016-09-26,187502806.18390664
2016-09-27,188841162.56935665
2016-09-28,189739109.26450667
2016-09-29,188034138.42360666
2016-09-30,189533792.97270668
2016-10-03,188968096.53770664
2016-10-04,188121704.6377067
2016-10-05,188916039.75020668
2016-10-06,188884891.82520667
2016-10-07,188338245.27520666
2016-10-10,189157173.93520665
2016-10-11,186933691.15520668
2016-10-12,187190806.0752067
2016-10-13,186651516.62520668
2016-10-14,186748724.7402067
2016-10-17,186187677.26520666
2016-10-18,187314553.41520664
2016-10-19,187649674.20720667
2016-10-20,187365965.65720668
2016-10-21,187314541.35720667
2016-10-24,188433677.38720667
2016-10-25,187813382.75220668
2016-10-26,187406310.85720664
2016-10-27,186883648.04720667
2016-10-28,186225825.12720668
2016-10-31,186173038.62720668
2016-11-01,184792172.99720666
2016-11-02,183715595.97220668
2016-11-03,182896066.57720664
2016-11-04,182496690.00720665
2016-11-07,186567981.6172067
2016-11-08,187420963.28470668
2016-11-09,189303194.07470667
2016-11-10,189354491.15470666
2016-11-11,189180192.14470667
2016-11-14,188817254.13470665
2016-11-15,190275337.1797067
2016-11-16,190137988.91470668
2016-11-17,190991673.3297067
2016-11-18,190609894.84970668
2016-11-21,191951876.56970665
2016-11-22,192396553.25970668
2016-11-23,192425010.7497067
2016-11-25,193259046.8097067
2016-11-28,192352381.87470666
2016-11-29,192667495.97970667
2016-11-30,191968240.6447067
2016-12-01,191243980.59470665
2016-12-02,191273973.79470667
2016-12-05,192366766.35470667
2016-12-06,192988760.82470667
2016-12-07,195662664.34470668
2016-12-08,195963753.67470667
2016-12-09,197273960.8347067
2016-12-12,197311713.00450665
2016-12-13,198753440.85450667
2016-12-14,197317523.91240665
2016-12-15,198129192.69240668
2016-12-16,197839943.78740665
2016-12-19,198279424.81740668
2016-12-20,199029564.07740664
2016-12-21,198515811.74740666
2016-12-22,198165384.1822067
2016-12-23,198391171.07220668
2016-12-27,198818148.26720667
2016-12-28,197282096.70220667
2016-12-29,197196754.91460666
2016-12-30,196230148.34960666
2017-01-03,197840792.78960666
