Symbol,Year
CMI,2017
CVS,2017
DHI,2017
DHR,2017
DRI,2017
DVA,2017
DE,2017
DAL,2017
XRAY,2017
DVN,2017
DLR,2017
DFS,2017
DISCA,2017
DISCK,2017
DISH,2017
DG,2017
DLTR,2017
D,2017
DOV,2017
DWDP,2017
DPS,2017
DTE,2017
DRE,2017
DUK,2017
DXC,2017
ETFC,2017
EMN,2017
ETN,2017
EBAY,2017
ECL,2017
EIX,2017
EW,2017
EA,2017
EMR,2017
ETR,2017
EVHC,2017
EOG,2017
EQT,2017
EFX,2017
EQIX,2017
EQR,2017
ESS,2017
EL,2017
ES,2017
RE,2017
EXC,2017
EXPE,2017
EXPD,2017
ESRX,2017
EXR,2017
XOM,2017
FFIV,2017
FB,2017
FAST,2017
FRT,2017
FDX,2017
FIS,2017
FITB,2017
FE,2017
FISV,2017
FLIR,2017
FLS,2017
FLR,2017
FMC,2017
FL,2017
F,2017
FTV,2017
FBHS,2017
BEN,2017
FCX,2017
GPS,2017
GRMN,2017
IT,2017
GD,2017
GE,2017
GGP,2017
GIS,2017
GM,2017
GPC,2017
GILD,2017
GPN,2017
GS,2017
GT,2017
GWW,2017
HAL,2017
HBI,2017
HOG,2017
HRS,2017
HIG,2017
HAS,2017
HCA,2017
HCP,2017
HP,2017
HSIC,2017
HSY,2017
HES,2017
HPE,2017
HLT,2017
HOLX,2017
HD,2017
HON,2017
HRL,2017
HST,2017
HPQ,2017
HUM,2017
HBAN,2017
IDXX,2017
INFO,2017
ITW,2017
ILMN,2017
IR,2017
INTC,2017
ICE,2017
IBM,2017
INCY,2017
IP,2017
IPG,2017
IFF,2017
INTU,2017
ISRG,2017
IVZ,2017
IQV,2017
IRM,2017
JEC,2017
JBHT,2017
SJM,2017
JNJ,2017
JCI,2017
JPM,2017
JNPR,2017
KSU,2017
K,2017
KEY,2017
KMB,2017
KIM,2017
KMI,2017
KLAC,2017
KSS,2017
KHC,2017
KR,2017
LB,2017
LLL,2017
LH,2017
LRCX,2017
LEG,2017
LEN,2017
LUK,2017
LLY,2017
LNC,2017
LKQ,2017
LMT,2017
L,2017
LOW,2017
LYB,2017
MTB,2017
MAC,2017
M,2017
MRO,2017
MPC,2017
MAR,2017
MMC,2017
MLM,2017
MAS,2017
MA,2017
MAT,2017
MKC,2017
MCD,2017
MCK,2017
MDT,2017
MRK,2017
MET,2017
MTD,2017
MGM,2017
KORS,2017
MCHP,2017
MU,2017
MSFT,2017
MAA,2017
MHK,2017
TAP,2017
MDLZ,2017
MON,2017
MNST,2017
MCO,2017
MS,2017
MOS,2017
MSI,2017
MYL,2017
NDAQ,2017
NOV,2017
NAVI,2017
NTAP,2017
NFLX,2017
NWL,2017
NFX,2017
NEM,2017
NWSA,2017
NWS,2017
NEE,2017
NLSN,2017
NKE,2017
NI,2017
NBL,2017
